Feature,Importance
osm_name_Merrion Road,3.9063394663708515e-05
osm_name_Dublin Port Tunnel,3.888351592918065e-05
osm_name_Windele Road,3.854612844630245e-05
osm_name_Arbutus Avenue,3.84056839092796e-05
osm_ref_R802,3.7925527782384474e-05
osm_name_Griffith Avenue,3.7915615904314385e-05
osm_name_Castleforbes Road,3.775330209299706e-05
osm_name_Foxfield Road Extension,3.743717569421916e-05
osm_name_Vernon Heath,3.695330861316909e-05
osm_name_South Dock Road,3.667704377853331e-05
osm_fclass_motorway_link,3.639720080183425e-05
osm_name_Dermot O'Hurley Avenue,3.6262473985619315e-05
osm_name_Mayor Street Upper,3.6073595552145724e-05
osm_name_Knockmaroon Road,3.558552433734495e-05
osm_name_Baggot Close,3.5503259670732184e-05
osm_name_Waterloo Lane,3.512560703551805e-05
osm_name_Lady's Lane,3.499958018987898e-05
osm_name_Davitt Road,3.450381487181697e-05
osm_ref_R801,3.4459668410349005e-05
osm_name_Killeen Road,3.4324306100833034e-05
osm_ref_R815,3.378331184890529e-05
osm_name_Grosvenor Square,3.3488846168998925e-05
osm_name_Seven Oaks,3.323754447765081e-05
osm_name_Pearse College,3.280339304036843e-05
osm_ref_R812,3.181585863040017e-05
osm_name_Hanover Lane,3.143188977415282e-05
osm_name_Belview,3.130211739827111e-05
osm_name_Pembroke Cottages,3.123015027032248e-05
osm_ref_L2190,3.089182825472562e-05
osm_name_Peter's Row,3.073178681981733e-05
osm_fclass_trunk_link,3.062908894308538e-05
osm_name_Kylemore Road,2.972432098423176e-05
osm_name_James Street,2.95703739474792e-05
osm_name_Emerald Street,2.930587758541943e-05
osm_name_Saint Brocs Cottages,2.867348432683026e-05
osm_name_Spring Garden Street,2.850742951789722e-05
osm_name_Shangan Green,2.7935812882811216e-05
osm_name_Ardee Street,2.791961647031164e-05
osm_ref_R104,2.7773101706497858e-05
osm_ref_R817,2.7610378931109982e-05
osm_name_O'Devaney Gardens,2.7287574070178213e-05
osm_name_Robinson's Court,2.7255327559611907e-05
osm_name_Bushfield Terrace,2.712080022839172e-05
osm_name_Smithfield,2.7109674271841416e-05
osm_name_Greencastle Drive,2.6755840984940433e-05
osm_name_Saint Mary's Avenue North,2.6741433990585453e-05
osm_name_Parnell Road,2.667558715805349e-05
osm_name_Newtown Road,2.6260971863432195e-05
osm_name_Belmayne Avenue,2.6004653057771272e-05
osm_name_St Mary's Road,2.5660088753514583e-05
osm_name_Kylemore Drive,2.56250043704742e-05
osm_name_Anner Road,2.5570230763425445e-05
osm_name_Tara Lawns,2.555837360171853e-05
osm_name_Beauvale Park,2.526180799514604e-05
osm_name_Bracken's Lane,2.51337399453699e-05
osm_name_Grangegorman Upper,2.4436334285246658e-05
osm_name_Greencastle Parade,2.4148860152410334e-05
osm_name_Stillorgan Road,2.4122409012245016e-05
osm_name_Rathdown Road,2.410637097353851e-05
osm_name_Adare Green,2.4089541766598176e-05
osm_name_Killester Avenue,2.3815650754200606e-05
osm_name_Seafield Road East,2.3752669768687545e-05
osm_name_McAuley Drive,2.3441165980293574e-05
osm_name_Slaney Court,2.2871481152799588e-05
osm_name_Beechlawn Way,2.2844595555503883e-05
osm_name_North Circular Road,2.242566396394924e-05
osm_name_Coolevin Road,2.2370824857645577e-05
osm_name_New Ireland Road,2.220763609722369e-05
osm_name_Annesley Park,2.220320487001774e-05
osm_name_Olney Crescent,2.2169671303101585e-05
osm_ref_R135,2.216966300034359e-05
osm_name_Donore Road,2.2124885999081027e-05
osm_name_Collins Avenue,2.183746772942595e-05
osm_name_Finglas Road,2.1799299778823438e-05
osm_name_Cooley Road,2.168063715308558e-05
osm_name_Glenaulin Drive,2.150301358986952e-05
osm_name_Copeland Avenue,2.1427846627812436e-05
osm_name_Hawkins Street,2.137704021333956e-05
osm_fclass_tertiary_link,2.1338503657909786e-05
osm_ref_R137,2.0968636157965688e-05
osm_name_Beechlawn Close,2.0877395712592065e-05
osm_name_Swan Centre Service Yard,2.079023411759547e-05
osm_name_Bond Road,2.0787498955013515e-05
osm_name_Clare Street,2.0730980960673602e-05
osm_name_Robert Street,2.0712503217421862e-05
osm_name_Asgard Road,2.061613281166132e-05
osm_name_Grange Park Walk,2.0508777653964506e-05
osm_name_St John's,2.0436129360959718e-05
osm_ref_R808,2.0386126477228356e-05
osm_name_Broombridge Road,2.033494662329613e-05
osm_name_Merton Avenue,2.030300450313815e-05
osm_name_Balcurris Road,2.0248652278131563e-05
osm_name_Rutland Grove,2.012942478089807e-05
osm_name_East Wall Road,2.0030011039430725e-05
osm_name_Mary Street Little,1.9776780765859224e-05
osm_name_Briarfield Grove,1.9634493607048104e-05
osm_name_Oriel Street Lower,1.9563657515559234e-05
osm_name_Charleville Road,1.9378140567059206e-05
osm_ref_R105,1.9306891521915144e-05
osm_name_Fortfield Court,1.918390994754908e-05
osm_name_Demesne,1.915866069190673e-05
osm_name_Coolock Village,1.9120820481761782e-05
osm_name_Newbrook Road,1.9027969270121358e-05
osm_name_Clarehall Avenue,1.901240099287991e-05
osm_name_Navan Road,1.890993304729301e-05
osm_name_East Road,1.8646542908747066e-05
osm_name_Kilmore Close,1.8589190260535182e-05
