osm_id,osm_code,osm_fclass,osm_name,osm_ref,osm_oneway,osm_maxspeed,osm_layer,osm_bridge,osm_tunnel,NO2points,NO2drives,NO2_ugm3,NOpoints,NOdrives,NO_ugm3,CO2points,CO2drives,CO2_mgm3,COpoints,COdrives,CO_mgm3,O3points,O3drives,O3_ugm3,PM25points,PM25drives,longitude,latitude,Observed_PM25,RF_Predicted_PM25,GB_Predicted_PM25,RF_Residual,GB_Residual
44116663,5115,tertiary,Castlewood Avenue,,B,50,0,False,False,655,14.0,26.137,769,16.0,27.675,691,15.0,827.001,770,16.0,0.412,249,14.0,39.16,791,16.0,-6.265040776575008,53.32255258886776,5.515,6.202333333333329,6.759161036141645,-0.6873333333333296,-1.2441610361416453
798868151,5141,service,,,B,30,0,False,False,2,1.0,31.279,2,1.0,57.081,2,1.0,800.629,2,1.0,0.38,0,,,2,1.0,-6.23951075,53.34529755,4.427,7.973856666666674,7.814655731779271,-3.5468566666666748,-3.3876557317792715
22462880,5122,residential,Vernon Rise,,B,30,0,False,False,15,1.0,-20.553,28,2.0,-9.055,26,2.0,806.895,28,2.0,0.306,6,1.0,84.342,29,2.0,-6.195261475141637,53.37224643894519,4.674,5.293939999999986,6.378298549602778,-0.6199399999999855,-1.704298549602778
81982578,5114,secondary,Blackhorse Avenue,R806,B,50,0,False,False,114,21.0,13.019,651,26.0,2.05,569,23.0,811.535,653,26.0,0.347,41,20.0,40.543,686,27.0,-6.306872320366967,53.359775646488785,5.041,5.566010000000009,6.272705987881336,-0.5250100000000089,-1.2317059878813357
4825332,5115,tertiary,Lime Street,,B,30,0,False,False,317,24.0,19.517,351,29.0,-5.679,322,29.0,808.729,359,30.0,0.374,114,24.0,34.466,371,29.0,-6.243658056262317,53.34578243211391,8.315,7.776179999999995,6.977637793315967,0.5388200000000047,1.3373622066840323
539871131,5114,secondary,Tolka Valley Road,R102,B,50,0,False,False,126,21.0,8.843,136,22.0,7.216,108,21.0,812.943,135,22.0,0.391,47,21.0,52.448,143,23.0,-6.292213749657437,53.379450428763036,7.784,6.909526666666663,6.177963283035291,0.874473333333337,1.6060367169647085
699676143,5121,unclassified,,,B,50,0,False,False,12,2.0,14.664,11,2.0,-42.762,5,1.0,817.377,10,2.0,0.295,4,2.0,62.105,12,2.0,-6.216799158708455,53.355723294722914,10.297,11.189973333333306,8.101186579242075,-0.8929733333333054,2.1958134207579256
326805555,5114,secondary,Clontarf Road,R807,B,50,0,False,False,244,29.0,5.443,283,35.0,0.974,240,33.0,817.883,283,35.0,0.356,94,29.0,51.561,303,36.0,-6.189489391578018,53.35873980722482,7.749,7.399063333333342,7.156918543101178,0.34993666666665746,0.5920814568988213
4919616,5121,unclassified,Saint Andrew Street,,F,30,0,False,False,116,20.0,19.524,142,24.0,-10.935,124,23.0,820.324,142,24.0,0.392,48,20.0,43.554,151,24.0,-6.261872505278265,53.34344258636354,6.922,7.170973333333338,7.258711506511964,-0.24897333333333815,-0.33671150651196413
33909888,5114,secondary,Morehampton Road,R138,B,50,0,False,False,796,24.0,26.296,849,27.0,50.574,732,26.0,850.1,852,27.0,0.455,299,24.0,45.538,889,27.0,-6.2406273083171,53.32476959938935,6.48,6.907260000000003,7.099561488972737,-0.4272600000000022,-0.619561488972737
5745432,5122,residential,Richmond Avenue South,,B,50,0,False,False,104,13.0,-6.785,106,14.0,-7.389,87,14.0,789.732,103,14.0,0.341,37,13.0,61.328,104,14.0,-6.254549591018518,53.31372472271388,3.942,4.291600000000003,4.887576040168095,-0.34960000000000324,-0.9455760401680946
4215606,5122,residential,Cabra Park,,B,30,0,False,False,193,12.0,-8.242,219,14.0,-9.899,197,14.0,782.265,218,14.0,0.31,71,12.0,61.036,239,15.0,-6.277896638997357,53.36172055493068,4.658,4.483453333333323,5.201030409968118,0.17454666666667773,-0.543030409968118
30795888,5114,secondary,Charlotte Way,R114,F,30,0,False,False,122,31.0,31.937,123,32.0,71.364,117,31.0,840.561,123,34.0,0.446,44,21.0,35.799,129,34.0,-6.26505475,53.3335489,5.97,7.788973333333332,7.610242381761726,-1.8189733333333322,-1.640242381761726
318733274,5114,secondary,James Larkin Road,R807,B,50,0,False,False,101,25.0,5.474,107,29.0,4.483,101,28.0,805.765,107,29.0,0.323,37,25.0,52.337,118,29.0,-6.167510659748531,53.370609748610406,4.708,6.068970000000012,6.723937368007817,-1.3609700000000116,-2.015937368007817
20485040,5115,tertiary,Whitworth Road,,B,50,0,False,False,250,17.0,18.506,373,22.0,17.566,372,21.0,822.814,372,22.0,0.412,93,17.0,46.454,387,22.0,-6.270749767069583,53.364387668910545,6.48,6.133930000000003,6.905377592935504,0.34606999999999744,-0.4253775929355035
23206489,5122,residential,Brighton Square,,B,50,0,False,False,0,,,5,1.0,2.243,4,1.0,769.638,5,1.0,0.29,0,,,5,1.0,-6.280044151071779,53.3157094654279,11.117,6.370516666666657,5.083747658478571,4.746483333333344,6.03325234152143
4881656,5111,motorway,Dublin Port Tunnel,M50,F,80,0,False,False,14,5.0,43.299,12,4.0,264.633,19,7.0,875.998,20,7.0,0.477,4,4.0,23.811,21,7.0,-6.223964250176739,53.353121414455565,13.425,10.69729666666666,12.652495262258553,2.7277033333333414,0.772504737741448
4919487,5121,unclassified,Chatham Row,,F,30,0,False,False,246,27.0,10.311,302,33.0,4.609,267,31.0,819.443,299,33.0,0.366,91,27.0,48.675,315,33.0,-6.2626080054369835,53.34101283152417,7.056,6.724909999999994,6.911474740536822,0.3310900000000059,0.14452525946317785
497632508,5122,residential,Saint Canice's Road,,B,30,0,False,False,100,13.0,-6.06,123,17.0,-10.382,103,17.0,791.206,125,17.0,0.337,41,13.0,60.662,130,17.0,-6.267305720757215,53.382989343099155,4.56,5.50923666666667,5.232268081000276,-0.9492366666666703,-0.6722680810002766
27800785,5122,residential,Bunratty Drive,,B,50,0,False,False,4,1.0,16.225,4,1.0,-37.617,4,1.0,795.243,4,1.0,0.402,1,1.0,67.321,4,1.0,-6.204613938986732,53.395009062004284,9.379,8.887923333333335,7.500881641764389,0.4910766666666646,1.8781183582356107
317127417,5114,secondary,Wolfe Tone Quay,R148,F,50,0,False,False,260,40.0,51.546,306,52.0,37.43,340,51.0,837.295,383,53.0,0.411,99,40.0,35.133,404,54.0,-6.28899158716359,53.347174843558314,7.081,7.119473333333338,8.710149225332312,-0.03847333333333758,-1.6291492253323119
4919469,5121,unclassified,Bishop Street,,F,30,0,False,False,19,4.0,17.277,21,4.0,-5.624,19,4.0,822.205,20,4.0,0.383,6,3.0,47.897,20,4.0,-6.267440224691265,53.33833011764729,2.229,4.43521000000001,7.19734860443991,-2.20621000000001,-4.96834860443991
497789494,5122,residential,Newbrook Road,,B,30,0,False,False,143,12.0,-1.058,159,13.0,-6.302,153,13.0,797.442,157,13.0,0.363,52,12.0,54.992,162,13.0,-6.1605022370384255,53.39521870210945,7.374,7.105183333333335,6.365332261986342,0.26881666666666426,1.0086677380136573
279100452,5122,residential,Effra Road,,B,30,0,False,False,75,10.0,-13.582,89,13.0,-12.964,74,13.0,790.729,94,13.0,0.339,28,10.0,66.737,92,12.0,-6.274079638567867,53.32098644207049,4.985,5.214336666666662,4.929512165653829,-0.22933666666666142,0.055487834346171105
3785940,5122,residential,,,B,30,0,False,False,1,1.0,17.431,1,1.0,5.994,1,1.0,769.484,1,1.0,0.246,0,,,1,1.0,-6.3167352447035245,53.39461942599015,6.898,10.62085666666664,5.855367285213009,-3.7228566666666403,1.0426327147869907
33969753,5121,unclassified,Chancery Street,,F,30,0,False,False,51,9.0,10.973,99,12.0,-2.905,84,10.0,806.138,109,13.0,0.363,21,9.0,48.231,112,13.0,-6.27208406858545,53.34687507557945,4.928,6.603030000000003,6.536035754792236,-1.6750300000000031,-1.608035754792236
