Feature,Importance
osm_name_Rathdown Park,0.0
osm_name_Rathdown Road,0.0
osm_name_Rathdown Villas,0.0
osm_name_Rathdrum Road,0.0
osm_name_Rathfarnham Road,0.0
osm_name_Rathgar Avenue,0.0
osm_name_Rathgar Place,0.0
osm_name_Rathgar Road,0.0
osm_name_Rathgar Villas,0.0
osm_name_Rathlin Road,0.0
osm_name_Nephin Road,0.0
osm_name_Rathmines Park,0.0
osm_name_Rathmines Road Lower,0.0
osm_name_Rathmines Road Upper,0.0
osm_name_Achill Road,0.0
osm_name_Rathvale Drive,0.0
osm_name_Rathvale Grove,0.0
osm_name_Rathvale Park,0.0
osm_name_Rathvilly Road,0.0
osm_name_Ratoath Avenue,0.0
osm_name_Ratoath Drive,0.0
osm_name_Ratoath Road,0.0
osm_name_Rathmines Avenue,0.0
osm_name_Raheny Road,0.0
osm_name_Raheny Wood,0.0
osm_name_Railway Mews,0.0
osm_name_Railway Road,0.0
osm_name_Railway Street,0.0
osm_name_Rainsford Street,0.0
osm_name_Raleigh Square,0.0
osm_name_Ramillies Road,0.0
osm_name_Ramleh Park,0.0
osm_name_Rampart Lane,0.0
osm_name_Ranelagh,0.0
osm_name_Rathdown Drive,0.0
osm_name_Ranelagh Mews,0.0
osm_name_Ranelagh Road,0.0
osm_name_Raphoe Road,0.0
osm_name_Rathborne Avenue,0.0
osm_name_Rathborne Close,0.0
osm_name_Rathborne Drive,0.0
osm_name_Rathborne Grove,0.0
osm_name_Rathborne Place,0.0
osm_name_Rathborne Way,0.0
osm_name_Rathdown Avenue,0.0
osm_name_Rathdown Crescent,0.0
osm_name_Ranelagh Avenue,0.0
osm_name_Richmond Place South,0.0
osm_name_Richmond Road,0.0
osm_name_Richmond Row,0.0
osm_name_Richmond Street South,0.0
osm_name_Richview Park,0.0
osm_name_Ring Street,0.0
osm_name_Ring Terrace,0.0
osm_name_Ringsend Road,0.0
osm_name_Rise Mews,0.0
osm_name_River Gardens,0.0
osm_name_Ratra Road,0.0
osm_name_Riverside Apartments,0.0
osm_name_Riverside Avenue,0.0
osm_name_Riverside Drive,0.0
osm_name_Riverside Grove,0.0
osm_name_Riverside Park,0.0
osm_name_Riverside Road,0.0
osm_name_Robert Emmet Bridge,0.0
osm_name_Robert Place,0.0
osm_name_Robert Street,0.0
osm_name_Abbeyvale,0.0
osm_name_Roger's Lane,0.0
osm_name_River Road,0.0
osm_name_Ravensdale Drive,0.0
osm_name_Ravensdale Park,0.0
osm_name_Ravensdale Road,0.0
osm_name_Raymond Street,0.0
osm_name_Red Cow Lane,0.0
osm_name_Redcourt Oaks,0.0
osm_name_Redmonds Hill,0.0
osm_name_Reginald Square,0.0
osm_name_Reginald Street,0.0
osm_name_Rehoboth Place,0.0
osm_name_Aberdeen Street,0.0
osm_name_Richmond Mews,0.0
osm_name_Reuben Walk,0.0
osm_name_Rialto Bridge,0.0
osm_name_Abercorn Road,0.0
osm_name_Rialto Street,0.0
osm_name_Ribh Avenue,0.0
osm_name_Ribh Road,0.0
osm_name_Richmond Avenue,0.0
osm_name_Richmond Avenue South,0.0
osm_name_Richmond Cottages North,0.0
osm_name_Richmond Estate,0.0
osm_name_Richmond Hill,0.0
osm_name_Reuben Street,0.0
osm_name_Percy French Road,0.0
osm_name_Percy Lane,0.0
osm_name_Percy Place,0.0
osm_name_Peter Place,0.0
